City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
271,Griffith,US,2022-05-03 02:47:17,41.5284,-87.4237,51.1,76,100,11.5
272,Akom,CM,2022-05-03 02:47:28,2.6678,12.7109,66.61,99,95,1.97
273,Kushalgarh,IN,2022-05-03 02:47:29,23.199,74.4507,87.85,44,0,9.98
274,Cabo San Lucas,MX,2022-05-03 02:44:53,22.8909,-109.9124,79.9,75,98,12.53
275,Bowmore,US,2022-05-03 02:48:29,34.9421,-79.3031,76.91,64,0,3.44
276,Namibe,AO,2022-05-03 02:48:18,-15.1961,12.1522,73.09,78,29,3.38
277,Gazli,UZ,2022-05-03 02:48:30,40.1333,63.45,67.24,64,90,14.43
278,Khandbari,NP,2022-05-03 02:48:31,27.3747,87.2039,76.41,49,36,2.73
279,Malartic,CA,2022-05-03 02:45:05,48.1335,-78.1328,46.51,98,100,5.3
280,Mao,ES,2022-05-03 02:48:31,39.8885,4.2658,57.76,88,20,5.75
281,Lobito,AO,2022-05-03 02:48:32,-12.3481,13.5456,76.96,80,79,6.69
282,Sept-Iles,CA,2022-05-03 02:44:01,50.2001,-66.3821,36.05,66,75,3.44
283,Jinchang,CN,2022-05-03 02:48:33,38.4953,102.1739,69.82,6,0,4.05
284,Iguguno,TZ,2022-05-03 02:48:33,-4.5697,34.6275,62.82,85,99,12.1
285,Nandu,CN,2022-05-03 02:48:34,22.8525,110.8233,74.43,54,21,6.31
286,Lata,PT,2022-05-03 02:48:34,40.1629,-8.3327,54.07,96,83,4.76
287,Mackay,AU,2022-05-03 02:48:35,-21.15,149.2,79.68,78,75,11.5
288,Najran,SA,2022-05-03 02:48:35,17.4924,44.1277,70.45,20,2,4.99
289,Carlisle,US,2022-05-03 02:48:36,40.2015,-77.1889,60.22,82,0,3.11
290,Srednekolymsk,RU,2022-05-03 02:48:36,67.45,153.6833,34.41,100,100,8.84
291,San Felipe,VE,2022-05-03 02:48:37,10.3399,-68.7425,71.65,94,21,3.62
292,Eureka,US,2022-05-03 02:48:12,40.8021,-124.1637,52.2,73,15,8.99
293,Lasa,IT,2022-05-03 02:48:38,46.6166,10.7002,47.28,94,55,0.6
294,Winneba,GH,2022-05-03 02:48:38,5.3511,-0.6231,79.03,85,75,4.76
295,Buraydah,SA,2022-05-03 02:48:39,26.326,43.975,72.05,23,0,6.51
