City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
25,San Marcos,US,33.1434,-117.1661,62.15,83,57,3.0,broken clouds
26,Ushuaia,AR,-54.8,-68.3,47.86,46,20,12.66,few clouds
27,Port Blair,IN,11.6667,92.75,87.84,74,75,13.8,broken clouds
28,Bethel,US,41.3712,-73.414,47.19,49,100,1.99,overcast clouds
29,Saskylakh,RU,71.9167,114.0833,16.41,88,68,15.68,broken clouds
30,Lakatoro,VU,-16.0999,167.4164,81.57,64,48,18.43,scattered clouds
31,Vaini,TO,-21.2,-175.2,77.16,78,40,8.05,scattered clouds
32,Mataura,NZ,-46.1927,168.8643,58.48,98,100,1.16,moderate rain
33,Vao,NC,-22.6667,167.4833,74.37,71,52,18.61,broken clouds
34,Punta Arenas,CL,-53.15,-70.9167,44.11,70,100,11.99,overcast clouds
35,Bambous Virieux,MU,-20.3428,57.7575,80.22,78,40,10.36,scattered clouds
36,Hermanus,ZA,-34.4187,19.2345,57.52,84,92,5.91,overcast clouds
37,Rikitea,PF,-23.1203,-134.9692,77.54,81,11,18.37,light rain
38,Champerico,GT,14.3,-91.9167,83.44,75,87,6.73,overcast clouds
39,Meadow Lake,US,34.8014,-106.5436,74.91,14,38,10.74,scattered clouds
40,Bredasdorp,ZA,-34.5322,20.0403,52.74,92,35,2.46,scattered clouds
41,Klaksvik,FO,62.2266,-6.589,45.52,81,100,19.93,overcast clouds
42,Nikki,BJ,9.9401,3.2108,77.54,76,59,7.74,broken clouds
43,Hobart,AU,-42.8794,147.3294,60.06,60,20,12.66,few clouds
44,Atuona,PF,-9.8,-139.0333,78.87,73,24,14.63,few clouds
45,Ilulissat,GL,69.2167,-51.1,4.41,91,3,5.75,clear sky
46,Chernyshevskiy,RU,63.0128,112.4714,36.39,71,100,15.97,light rain
47,Tautira,PF,-17.7333,-149.15,80.94,75,11,1.14,few clouds
48,Isiro,CD,2.7739,27.616,67.42,99,98,1.14,overcast clouds
49,Tuy Hoa,VN,13.0833,109.3,85.08,70,93,8.08,overcast clouds
50,Kapaa,US,22.0752,-159.319,80.58,82,75,16.11,broken clouds
51,Tasiilaq,GL,65.6145,-37.6368,27.55,70,100,5.93,overcast clouds
52,Ternate,ID,0.8,127.4,85.86,72,15,4.94,few clouds
53,Epitalion,GR,37.6333,21.5,62.28,59,100,2.1,overcast clouds
54,Chokurdakh,RU,70.6333,147.9167,16.95,88,52,6.78,broken clouds
55,Boende,CD,-0.2167,20.8667,70.65,96,78,1.59,broken clouds
56,Seoul,KR,37.5683,126.9778,63.97,34,0,4.61,clear sky
57,Asau,RO,46.4333,26.4,47.32,66,36,1.79,scattered clouds
58,Fairbanks,US,64.8378,-147.7164,48.6,79,0,3.44,clear sky
59,Kindu,CD,-2.95,25.95,69.69,99,100,2.1,light rain
60,New Norfolk,AU,-42.7826,147.0587,59.72,51,62,1.01,broken clouds
61,Georgetown,MY,5.4112,100.3354,89.55,66,40,6.91,light rain
62,Touros,BR,-5.1989,-35.4608,75.4,92,99,7.43,overcast clouds
63,Shingu,JP,33.7333,135.9833,72.03,63,5,6.82,clear sky
64,Aklavik,CA,68.2191,-135.0107,33.58,86,86,8.43,overcast clouds
65,San Policarpo,PH,12.1791,125.5072,84.99,73,52,13.42,broken clouds
66,Bengkulu,ID,-3.8004,102.2655,83.14,66,100,2.24,overcast clouds
67,Busselton,AU,-33.65,115.3333,69.64,61,56,8.05,light rain
68,San Jose De Guanipa,VE,8.8872,-64.1651,76.55,68,98,4.05,overcast clouds
69,Saint-Philippe,RE,-21.3585,55.7679,80.19,83,44,13.13,light rain
70,Albany,US,42.6001,-73.9662,45.84,58,96,2.17,overcast clouds
71,Hobyo,SO,5.3505,48.5268,85.5,66,82,14.92,broken clouds
72,Suntar,RU,62.1444,117.6319,44.19,71,50,16.17,light rain
73,Port Alfred,ZA,-33.5906,26.891,58.17,88,97,5.99,overcast clouds
74,Harindanga,IN,22.0383,88.3214,93.06,46,0,8.39,clear sky
75,Nanortalik,GL,60.1432,-45.2371,37.29,80,100,2.59,overcast clouds
76,Dambulla,LK,7.86,80.6517,87.21,62,100,12.95,overcast clouds
77,Cherskiy,RU,68.75,161.3,28.58,94,100,18.1,light snow
78,Brownwood,US,31.7093,-98.9912,88.92,58,1,20.09,clear sky
79,Scarborough,GB,54.2797,-0.4044,40.91,91,40,2.82,scattered clouds
80,Northam,GB,51.0333,-4.2167,51.39,98,100,7.23,overcast clouds
81,Viedma,AR,-40.8135,-62.9967,63.75,42,3,17.56,clear sky
82,Pevek,RU,69.7008,170.3133,29.75,84,100,6.33,overcast clouds
83,Puerto Leguizamo,CO,-0.1934,-74.7819,70.45,95,98,1.39,overcast clouds
84,Bosobolo,CD,4.1833,19.9,70.75,90,94,2.37,overcast clouds
85,Trincomalee,LK,8.5711,81.2335,85.51,73,100,15.9,overcast clouds
86,Kultayevo,RU,57.8943,55.9392,57.18,35,0,11.18,clear sky
87,Alyangula,AU,-13.8483,136.4192,85.87,58,75,10.36,broken clouds
88,Mount Gambier,AU,-37.8333,140.7667,57.11,82,100,10.36,overcast clouds
89,Lusaka,ZM,-15.4067,28.2871,60.04,78,40,4.94,scattered clouds
90,Chunhuhub,MX,19.55,-88.6833,75.15,93,1,1.61,clear sky
91,Abu Samrah,SY,35.3029,37.1841,60.1,57,21,7.29,few clouds
92,Dubti,ET,11.7361,41.0853,87.3,51,44,10.11,scattered clouds
93,Ribeira Grande,PT,38.5167,-28.7,60.82,67,91,2.44,overcast clouds
94,Souillac,MU,-20.5167,57.5167,78.01,66,35,13.31,scattered clouds
95,Nikolskoye,RU,59.7035,30.7861,45.72,84,100,8.88,overcast clouds
96,New Scone,GB,56.4194,-3.4051,47.89,90,100,1.57,overcast clouds
97,Sorrento,IT,40.626,14.3744,62.1,73,83,8.43,broken clouds
98,Cacoal,BR,-11.4386,-61.4472,69.28,81,42,2.75,scattered clouds
99,Nancha,CN,47.1333,129.2667,58.33,24,18,8.28,few clouds
100,Hilo,US,19.7297,-155.09,76.28,99,100,8.3,moderate rain
101,Kahului,US,20.8947,-156.47,75.85,84,100,15.01,overcast clouds
102,Sao Filipe,CV,14.8961,-24.4956,72.39,80,8,15.37,clear sky
103,Kansk,RU,56.2017,95.7175,38.32,42,81,23.06,broken clouds
104,Bure,ET,10.7,37.0667,66.34,59,80,2.1,broken clouds
105,Tiksi,RU,71.6872,128.8694,20.21,74,35,4.92,scattered clouds
106,Molfetta,IT,41.2002,16.5975,60.67,92,40,3.44,scattered clouds
107,Beringovskiy,RU,63.05,179.3167,33.55,98,100,5.61,light snow
108,Morgan City,US,29.6994,-91.2068,75.0,93,0,4.05,clear sky
109,Ambilobe,MG,-13.2,49.05,77.59,73,47,3.38,scattered clouds
110,Asyut,EG,27.181,31.1837,76.98,16,56,4.03,broken clouds
111,Avera,US,33.194,-82.5271,59.05,80,0,5.97,clear sky
112,Fortuna,US,40.5982,-124.1573,49.98,87,100,0.0,overcast clouds
113,Castro,BR,-24.7911,-50.0119,46.6,99,58,4.25,broken clouds
114,Coquimbo,CL,-29.9533,-71.3436,55.13,100,100,1.14,overcast clouds
115,Salalah,OM,17.0151,54.0924,84.04,65,26,8.41,scattered clouds
116,Jalingo,NG,8.8833,11.3667,77.85,79,100,3.69,overcast clouds
117,Provideniya,RU,64.3833,-173.3,32.05,98,100,8.81,overcast clouds
118,Severo-Kurilsk,RU,50.6789,156.125,49.39,74,99,15.66,overcast clouds
119,Dahra,DZ,36.2546,0.8519,56.19,57,0,3.87,clear sky
120,Pringsewu,ID,-5.3582,104.9744,82.71,76,100,3.04,overcast clouds
121,Rio Grande,BR,-32.035,-52.0986,59.25,86,1,7.96,clear sky
122,Golden,US,39.7555,-105.2211,60.28,52,0,10.36,clear sky
123,Constitucion,CL,-35.3333,-72.4167,53.44,76,0,5.93,clear sky
124,Umea,SE,63.8284,20.2597,36.91,64,29,13.8,scattered clouds
125,Khatanga,RU,71.9667,102.5,18.64,85,98,11.88,overcast clouds
126,Rapid Valley,US,44.0625,-103.1463,58.32,44,0,13.8,clear sky
127,Mahebourg,MU,-20.4081,57.7,81.25,69,71,12.93,broken clouds
128,Lompoc,US,34.6391,-120.4579,52.93,82,73,3.0,broken clouds
129,East London,ZA,-33.0153,27.9116,60.66,80,99,14.03,overcast clouds
130,Bonthe,SL,7.5264,-12.505,72.9,92,100,1.86,moderate rain
131,Henties Bay,NA,-22.116,14.2845,55.29,89,0,9.33,clear sky
132,Buala,SB,-8.145,159.5921,83.14,78,40,9.35,light rain
133,Port Elizabeth,ZA,-33.918,25.5701,56.32,93,53,5.99,broken clouds
134,Marana,US,32.4367,-111.2254,84.61,12,0,9.22,clear sky
135,Uruapan,MX,19.4167,-102.0667,65.59,54,38,2.15,scattered clouds
136,Bogorodskoye,RU,56.55,37.8833,51.57,78,97,13.62,overcast clouds
